Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,113.21,114.59,113.00,114.59,2319100,114.59
2014-03-03,116.22,117.07,112.27,113.50,3521700,113.50
2014-02-24,113.46,117.47,113.20,116.80,1920900,116.80
2014-02-18,116.30,116.41,112.92,113.19,2337600,113.19
2014-02-10,114.04,116.49,112.58,116.10,1695900,116.10
2014-02-03,112.96,114.61,109.50,114.04,2789700,113.73
2014-01-27,112.56,114.76,111.13,112.36,2454400,112.06
2014-01-21,115.61,116.11,111.92,112.13,2489400,111.83
2014-01-13,117.06,117.53,114.58,116.29,2395700,115.98
2014-01-06,117.49,119.10,113.92,117.85,3512400,117.53
2013-12-30,118.95,119.71,117.13,117.29,1226600,116.97
2013-12-23,119.10,119.31,118.13,118.53,989700,118.21
2013-12-16,117.92,119.05,115.85,118.53,2461200,118.21
2013-12-09,122.82,122.84,116.97,117.91,3043100,117.59
2013-12-02,125.66,125.69,120.50,122.06,1984100,121.73
2013-11-25,125.67,126.12,124.90,125.43,1147100,125.09
2013-11-18,124.66,125.35,122.31,125.21,1272600,124.87
2013-11-11,122.74,124.69,121.52,124.29,1563000,123.95
2013-11-04,120.00,124.74,119.10,122.78,2168200,122.14
2013-10-28,116.20,119.80,116.20,119.62,1712900,119.00
2013-10-21,117.41,118.89,115.18,116.44,1622200,115.83
2013-10-14,115.01,118.70,115.01,117.64,1875900,117.03
2013-10-07,113.81,116.00,110.15,115.90,2648600,115.29
2013-09-30,115.03,115.56,113.90,114.44,1522800,113.84
2013-09-23,117.08,118.17,115.00,115.72,1523600,115.12
2013-09-16,118.36,119.47,116.96,117.94,1684600,117.32
2013-09-09,114.17,119.34,113.93,117.03,1553600,116.42
2013-09-03,112.81,115.10,111.35,114.35,1849600,113.75
2013-08-26,113.00,113.12,110.19,111.87,1338300,111.29
2013-08-19,111.90,113.49,111.66,113.07,1296100,112.48
2013-08-12,115.59,116.35,111.51,111.90,1558200,111.32
2013-08-05,119.45,120.20,115.37,115.63,1598400,115.03
2013-07-29,116.48,119.50,116.24,119.37,1409000,118.44
2013-07-22,118.82,119.39,115.54,116.57,1435900,115.66
2013-07-15,116.00,118.14,115.12,118.07,1309700,117.15
2013-07-08,112.34,116.88,112.07,116.46,1588700,115.55
2013-07-01,111.55,112.31,110.06,111.76,1127800,110.89
2013-06-24,107.46,112.35,107.44,110.57,1551000,109.71
2013-06-17,111.75,112.59,107.38,108.65,1894700,107.80
2013-06-10,110.93,111.62,109.02,111.00,1299700,110.13
2013-06-03,109.92,111.95,108.57,110.58,2083000,109.72
2013-05-28,115.10,115.77,109.63,109.63,2881000,108.77
2013-05-20,113.06,114.72,111.85,114.39,2025900,113.50
2013-05-13,109.69,113.19,109.60,113.05,1640300,112.17
2013-05-06,109.71,110.25,108.66,109.99,1227900,108.83
2013-04-29,109.30,110.41,107.68,109.75,1467900,108.59
2013-04-22,104.43,109.75,104.27,109.27,2001700,108.12
2013-04-15,105.45,106.22,103.20,104.45,2113400,103.35
2013-04-10,105.73,106.79,105.19,106.13,1838100,105.01
