Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,28.11,28.16,27.87,28.01,1617800,28.01
2014-03-03,27.79,28.44,27.45,28.09,2586800,28.09
2014-02-24,27.43,28.06,27.43,27.95,1998900,27.95
2014-02-18,27.08,27.46,26.59,27.44,2211900,27.44
2014-02-10,26.21,27.07,26.19,27.01,2700700,27.01
2014-02-03,26.48,26.86,25.50,26.32,3715100,26.32
2014-01-27,25.50,27.43,25.50,26.54,4022300,26.54
2014-01-21,26.70,26.70,25.47,25.47,1811200,25.47
2014-01-13,26.23,26.76,26.10,26.50,1736500,26.50
2014-01-06,26.47,26.58,25.86,26.38,2005200,26.38
2013-12-30,26.25,26.58,26.07,26.40,1553800,26.40
2013-12-23,25.87,26.46,25.76,26.24,1140200,26.24
2013-12-16,25.00,25.90,24.65,25.80,2575600,25.80
2013-12-09,25.25,25.62,24.67,24.77,2105700,24.77
2013-12-02,24.25,25.22,24.05,25.10,2859300,25.10
2013-11-25,23.43,24.48,23.40,24.24,2859300,24.24
2013-11-18,23.05,23.54,22.31,23.40,3572500,23.40
2013-11-11,22.37,23.04,22.00,22.97,4138100,22.97
2013-11-04,23.18,23.20,22.00,22.32,3298300,22.32
2013-10-28,23.96,24.60,22.01,23.03,5058900,23.03
2013-10-21,22.91,23.87,22.75,23.72,1933000,23.72
2013-10-14,22.55,23.38,22.28,22.87,2812500,22.87
2013-10-07,22.43,22.87,21.86,22.78,3745800,22.78
2013-09-30,23.07,23.66,22.48,22.55,2872300,22.55
2013-09-23,23.70,23.87,23.24,23.34,1434800,23.34
2013-09-16,23.78,24.50,23.33,23.81,2755700,23.81
2013-09-09,22.41,24.05,22.37,23.40,1935900,23.40
2013-09-03,22.19,22.50,21.71,22.37,2387600,22.37
2013-08-26,21.89,22.01,21.38,21.87,2523000,21.87
2013-08-19,21.28,22.15,21.24,21.91,2928000,21.91
2013-08-12,23.28,23.35,21.57,21.60,2480100,21.60
2013-08-05,23.19,23.59,22.87,23.31,2060700,23.31
2013-07-29,24.09,24.16,22.94,23.20,3399300,23.20
2013-07-22,24.30,24.50,23.43,24.09,2327500,24.09
2013-07-15,24.05,24.33,23.84,24.30,2152700,24.30
2013-07-08,23.53,24.16,23.24,24.07,1759900,24.07
2013-07-01,23.55,23.65,22.91,23.43,2110900,23.43
2013-06-24,21.24,23.45,20.59,23.36,3866200,23.36
2013-06-17,22.87,23.27,21.02,21.50,4144100,21.50
2013-06-10,23.50,23.56,22.42,22.67,2212100,22.67
2013-06-03,23.24,23.49,22.34,23.44,2847800,23.44
2013-05-28,23.82,24.07,22.97,23.18,2688400,23.18
2013-05-20,24.71,25.37,23.29,23.39,2771100,23.39
2013-05-13,24.05,25.21,23.85,24.78,2677800,24.78
2013-05-06,24.16,24.65,24.03,24.10,2278500,24.10
2013-04-29,24.28,24.70,23.93,24.15,2024800,24.15
2013-04-22,23.88,24.98,23.34,24.18,2381000,24.18
2013-04-15,25.16,25.16,23.17,23.83,2483400,23.83
2013-04-10,25.08,25.69,24.97,25.29,2046700,25.29
