Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,43.73,43.73,43.29,43.50,1094500,43.50
2014-03-03,44.29,44.51,43.21,43.75,1518100,43.75
2014-02-24,44.79,44.94,43.82,44.45,1869000,44.45
2014-02-18,45.08,45.31,44.34,44.65,1731500,44.25
2014-02-10,43.21,45.05,42.94,44.97,1624700,44.57
2014-02-03,43.86,44.52,42.52,43.30,2079900,42.92
2014-01-27,42.43,43.98,42.35,43.80,1676200,43.41
2014-01-21,42.84,43.53,42.43,42.43,2062500,42.05
2014-01-13,42.55,42.65,41.85,42.59,1655000,42.21
2014-01-06,41.64,42.84,41.28,42.65,1907800,42.27
2013-12-30,42.12,42.52,41.31,41.52,1966600,41.15
2013-12-23,42.32,42.53,41.91,42.20,908700,41.83
2013-12-16,41.76,42.35,40.93,42.11,1960200,41.74
2013-12-09,41.64,41.77,40.64,41.59,3205900,41.22
2013-12-02,41.09,41.59,40.60,41.58,1552200,40.84
2013-11-25,42.29,42.29,40.77,41.08,1410500,40.35
2013-11-18,43.01,43.04,41.80,42.18,1422500,41.43
2013-11-11,42.34,43.03,41.46,42.93,1345500,42.17
2013-11-04,42.58,43.18,41.49,42.27,1245400,41.52
2013-10-28,43.43,43.75,42.20,42.50,1465100,41.74
2013-10-21,42.31,43.43,41.96,43.41,1546400,42.64
2013-10-14,42.00,42.60,41.01,42.34,1687000,41.59
2013-10-07,40.64,42.23,40.60,42.16,1164100,41.41
2013-09-30,41.22,41.59,40.82,41.02,1383900,40.29
2013-09-23,40.99,41.81,40.88,41.44,1422000,40.70
2013-09-16,40.76,42.20,40.29,41.19,1462600,40.46
2013-09-09,40.26,40.99,40.01,40.29,2605000,39.57
2013-09-03,41.23,41.38,40.08,40.25,2403500,39.18
2013-08-26,41.75,41.87,40.73,40.97,1659500,39.88
2013-08-19,41.26,41.79,40.81,41.71,1527300,40.60
2013-08-12,43.63,43.67,41.18,41.30,1425400,40.20
2013-08-05,44.63,44.63,43.62,43.77,1263200,42.60
2013-07-29,44.10,45.13,43.84,44.69,1449000,43.50
2013-07-22,44.78,45.00,43.83,44.23,1140300,43.05
2013-07-15,43.22,44.85,43.17,44.83,1128600,43.64
2013-07-08,41.24,43.36,41.07,43.28,1135600,42.13
2013-07-01,42.17,42.37,40.57,41.13,1284500,40.03
2013-06-24,39.94,42.34,39.51,42.02,1824800,40.90
2013-06-17,42.43,42.68,39.35,40.37,1891200,39.29
2013-06-10,42.54,42.54,40.99,42.13,1321500,41.01
2013-06-03,41.69,42.40,41.03,42.38,1379100,41.25
2013-05-28,42.96,42.96,41.38,41.67,1579500,40.56
2013-05-20,44.45,45.09,42.51,42.84,1236800,41.34
2013-05-13,43.63,44.79,43.12,44.47,1266000,42.91
2013-05-06,45.08,45.20,43.43,43.78,1514800,42.25
2013-04-29,44.95,45.66,44.82,45.16,1196200,43.58
2013-04-22,44.92,45.14,44.23,44.86,1410900,43.29
2013-04-15,44.54,44.94,43.61,44.94,1462700,43.36
2013-04-10,43.78,44.74,43.73,44.66,1230800,43.09
