Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,29.81,29.96,29.60,29.88,4319100,29.88
2014-03-03,30.24,30.50,29.14,29.82,5642500,29.82
2014-02-24,30.42,30.95,29.96,30.41,6058100,30.41
2014-02-18,29.76,30.71,29.64,30.42,7545300,30.42
2014-02-10,29.35,29.80,28.79,29.74,7415100,29.74
2014-02-03,29.12,29.88,28.57,29.44,11248700,29.13
2014-01-27,28.45,29.31,27.90,29.00,8141000,28.69
2014-01-21,27.27,29.16,27.24,28.27,9407100,27.97
2014-01-13,27.14,27.55,26.72,27.20,4874000,26.91
2014-01-06,26.61,27.59,26.55,27.17,6304100,26.88
2013-12-30,27.16,27.68,26.45,26.62,6943200,26.34
2013-12-23,27.35,27.56,27.05,27.15,4995300,26.86
2013-12-16,27.69,28.02,27.07,27.26,9460200,26.97
2013-12-09,28.43,28.50,27.53,27.70,7212200,27.41
2013-12-02,26.95,28.47,26.64,28.44,7964700,28.14
2013-11-25,27.35,27.37,26.87,26.91,5619100,26.63
2013-11-18,28.25,28.33,27.33,27.35,5721800,27.06
2013-11-11,28.23,28.89,27.69,28.12,11216000,27.82
2013-11-04,28.71,29.14,27.73,28.34,13776500,27.73
2013-10-28,27.65,28.90,27.65,28.67,9370300,28.06
2013-10-21,28.79,28.95,27.58,27.96,11594900,27.36
2013-10-14,30.18,30.20,28.38,28.75,7748600,28.13
2013-10-07,29.07,30.59,29.00,30.34,4756900,29.69
2013-09-30,29.67,29.89,29.10,29.23,4211700,28.60
2013-09-23,30.06,30.69,29.58,29.74,4300800,29.10
2013-09-16,30.42,31.19,30.07,30.13,6087600,29.48
2013-09-09,30.34,30.76,29.90,30.17,4660200,29.52
2013-09-03,30.66,30.75,29.70,30.31,4865400,29.66
2013-08-26,30.90,30.96,30.32,30.49,4582900,29.84
2013-08-19,30.03,31.00,29.67,30.96,6156800,30.30
2013-08-12,31.15,31.20,30.01,30.16,8112900,29.51
2013-08-05,30.59,31.45,30.07,31.26,10158400,30.29
2013-07-29,31.44,32.09,30.33,30.62,6120300,29.67
2013-07-22,32.00,32.42,31.05,31.65,4345100,30.66
2013-07-15,30.96,32.05,30.90,32.04,4488200,31.04
2013-07-08,29.77,31.08,29.75,31.04,4798800,30.07
2013-07-01,30.95,31.03,29.44,29.74,4652700,28.81
2013-06-24,30.00,31.50,29.84,30.88,7859100,29.92
2013-06-17,30.77,31.26,29.84,30.30,7790000,29.36
2013-06-10,31.56,31.68,30.12,30.63,6598900,29.68
2013-06-03,31.38,32.01,31.05,31.36,7105900,30.38
2013-05-28,32.13,32.75,31.34,31.34,11665800,30.36
2013-05-20,35.21,35.46,34.22,34.65,5721800,33.57
2013-05-13,35.40,35.54,34.68,35.15,6064000,34.05
2013-05-06,35.48,35.84,34.97,35.75,10796100,34.34
2013-04-29,37.44,37.80,35.78,35.81,7919500,34.39
2013-04-22,36.68,37.43,36.43,37.33,5213500,35.85
2013-04-15,36.04,36.75,35.65,36.68,6632600,35.23
2013-04-10,35.85,36.25,35.73,36.22,5303200,34.79
